Accident_ID,Date,Time,Weather,Road_Condition,Location,Latitude,Longitude,Severity,Vehicles_Involved,Cause
A0001,2024-09-07,02:17,Clear,Wet,Devipattinam Road,9.478745,78.867793,Minor,4,Poor Road Condition
A0002,2024-08-11,02:05,Clear,Wet,Bus Stand Junction,9.368472,78.836285,Fatal,3,Drunk Driving
A0003,2024-10-11,08:37,Rainy,Potholes,Bus Stand Junction,9.367149,78.833649,Minor,2,Weather
A0004,2024-04-09,06:24,Clear,Dry,Madurai Road Junction,9.367369,78.811151,Moderate,1,Speeding
A0005,2024-03-21,22:24,Cloudy,Potholes,Devipattinam Road,9.477296,78.868814,Moderate,4,Poor Road Condition
A0006,2024-10-23,03:14,Windy,Potholes,Devipattinam Road,9.477305,78.867301,Moderate,2,Overtaking
A0007,2024-08-02,07:22,Cloudy,Wet,Madurai Road Junction,9.365363,78.80713,Moderate,1,Weather
A0008,2025-04-18,18:10,Clear,Under Construction,East Coast Road,9.297413,78.899157,Moderate,2,Poor Road Condition
A0009,2024-11-19,08:02,Clear,Dry,Ramanathapuram Junction,9.362381,78.839971,Moderate,2,Vehicle Failure
A0010,2025-10-20,17:25,Clear,Dry,Kilakarai Main Road,9.229638,78.782882,Moderate,2,Speeding
A0011,2025-02-12,13:37,Clear,Under Construction,Industrial Area Road,9.352198,78.824661,Severe,2,Speeding
A0012,2025-11-27,07:10,Clear,Dry,Devipattinam Road,9.478101,78.865863,Moderate,5,Distracted Driving
A0013,2025-11-27,20:00,Cloudy,Wet,East Coast Road,9.299183,78.900166,Severe,2,Drunk Driving
A0014,2025-04-09,10:10,Clear,Wet,Devipattinam Road,9.476274,78.868564,Severe,5,Weather
A0015,2025-10-02,21:55,Clear,Wet,East Coast Road,9.299099,78.899562,Severe,1,Poor Road Condition
A0016,2025-06-27,22:59,Foggy,Dry,East Coast Road,9.299097,78.902778,Minor,1,Weather
A0017,2025-08-03,09:15,Windy,Dry,Rameswaram Road,9.28798,79.310413,Moderate,1,Weather
A0018,2025-07-16,07:30,Clear,Dry,Paramakudi Highway,9.547234,78.588169,Severe,5,Poor Road Condition
A0019,2025-11-18,18:25,Cloudy,Dry,Kilakarai Main Road,9.231313,78.78206,Minor,1,Distracted Driving
A0020,2024-08-23,01:35,Cloudy,Dry,Madurai Road Junction,9.363008,78.810295,Minor,1,Weather
A0021,2025-06-10,20:04,Clear,Wet,Ramanathapuram Junction,9.365008,78.839757,Fatal,1,Speeding
A0022,2025-04-29,16:15,Rainy,Dry,Industrial Area Road,9.349827,78.824548,Moderate,2,Poor Road Condition
A0023,2024-04-10,18:41,Clear,Wet,Ramanathapuram Junction,9.361682,78.83842,Minor,1,Signal Violation
A0024,2024-07-06,14:27,Clear,Dry,East Coast Road,9.299309,78.901586,Severe,2,Overtaking
A0025,2025-07-07,06:41,Rainy,Under Construction,East Coast Road,9.300515,78.897355,Moderate,1,Vehicle Failure
A0026,2024-03-01,20:57,Clear,Dry,Kilakarai Main Road,9.231486,78.784422,Moderate,4,Distracted Driving
A0027,2025-07-23,13:46,Cloudy,Dry,Rameswaram Road,9.286985,79.312918,Minor,2,Speeding
A0028,2024-02-28,04:20,Clear,Dry,East Coast Road,9.301546,78.901397,Minor,2,Vehicle Failure
A0029,2024-03-11,05:11,Cloudy,Wet,East Coast Road,9.298741,78.899536,Fatal,1,Speeding
A0030,2025-09-26,16:02,Clear,Wet,Kilakarai Main Road,9.231497,78.786463,Moderate,2,Drunk Driving
A0031,2024-05-14,09:25,Cloudy,Dry,Madurai Road Junction,9.364281,78.809722,Minor,3,Distracted Driving
A0032,2024-04-12,17:36,Clear,Dry,Market Road,9.36414,78.834406,Severe,4,Speeding
A0033,2025-03-24,12:10,Rainy,Wet,Kilakarai Main Road,9.232219,78.787034,Minor,3,Overtaking
